"id","code","name","parent_id","enabled","dest"
1,"A","综合",,1,
2,"B","农业、林业",,1,
3,"C","医药、卫生、劳动保护",,1,
4,"D","矿业",,1,
5,"E","石油",,1,
6,"F","能源、核技术",,1,
7,"G","化工",,1,
8,"H","冶金",,1,
9,"J","机械",,1,
10,"K","电工",,1,
11,"L","电子元器件与信息技术",,1,
12,"M","通信、广播",,1,
13,"N","仪器、仪表",,1,
14,"P","工程建设",,1,
15,"Q","建材",,1,
16,"R","公路、水路运输",,1,
17,"S","铁路",,1,
18,"T","车辆",,1,
19,"U","船舶",,1,
20,"V","航空、航天",,1,
21,"W","纺织",,1,
22,"X","食品",,1,
23,"Y","轻工、文化与生活用品",,1,
24,"Z","环境保护",,1,
25,"A00/09","标准化管理与一般规定",1,1,
26,"A10/19","经济、文化",1,1,
27,"A20/39","基础标准",1,1,
28,"A40/49","基础学科",1,1,
29,"A50/64","计量",1,1,
30,"A65/74","标准物质",1,1,"综合性标准样品入此，专业标准样品入各专业类。"
31,"A75/79","测绘",1,1,
32,"A80/89","标志、包装、运输、贮存",1,1,
33,"A90/94","社会公共安全",1,1,
34,"A00","标准化、质量管理",25,1,"标准化工作法规、导则，质量监督法规、导则，产品质量认证制度等。"
35,"A01","技术管理",25,1,"技术文件管理，能源管理，设备、工具管理等。"
36,"A02","经济管理",25,1,
37,"A10","商业、贸易、合同",26,1,"商业、贸易、商检与合同等。"
38,"A11","金融、保险",26,1,"银行工作、会计制度、证券格式、货币、规范、信贷、信托等。"
39,"A12","供应与使用关系",26,1,"消费者标准等。"
40,"A13","文件格式",26,1,"证件、行政文件、表格、卡片等。"
41,"A14","图书馆、档案、文献与情报工作",26,1,"收集、加工、报道、服务和管理等。包括自动化处理，手工、机器检索，机器翻译以及缩微技术。缩微设备入N47。"
42,"A15","电影与摄影技术",26,1,"术语、设计、工艺试验方法质量评定、电影与摄影技术等。电影胶片、照相胶卷入G80/81，照相级化学药品入G84/85，电影与摄影设备入N40/44和N46。电光源入K71。"
43,"A17","印刷技术",26,1,"印刷材料入此。印刷机械入J87。"
44,"A18","教育、学位、学衔",26,1,
45,"A19","编辑、出版",26,1,"文字、印刷符号、校对符号、出版规定等。"
46,"A20","综合技术",27,1,"优先数与优先数系统、抽样、价值工程等。"
47,"A21","环境条件与通用试验方法",27,1,"环境条件分级入此。"
48,"A22","术语、符号",27,1,"术语编制原则，通用的术语、图形符号、文字符号等。"
49,"A24","分类编码",27,1,"国家、部门、行业、职业、产品、文献等的分类编码。"
50,"A25","人类工效学",27,1,
51,"A26","颜色",27,1,"安全色入此。"
52,"A28","筛分、筛板与筛网",27,1,"术语、系列等。"
53,"A29","材料防护",27,1,"金属、非金属材料防护（如电镀、涂装等）及其试验方法等。"
54,"A31","爆破技术",27,1,"定向爆破、微型爆破、爆炸成型、震源射孔、切割等。"
55,"A40","基础学科综合",28,1,
56,"A41","数学",28,1,"数理统计方法等。"
57,"A42","物理学与力学",28,1,"热与热力学、光学、流体力学、空气力学、声学与振动、电学、磁学等。摩擦、磨损入此。"
58,"A43","化学",28,1,"基本化学分析方法等。"
59,"A44","地球科学",28,1,
60,"A45","海洋学",28,1,"术语、水文、气象等海洋要素分析，海洋规范、监测、环境资料标准等。"
61,"A46","天文学",28,1,"时间表示法等。"
62,"A47","气象学",28,1,"大气标准、气象灾害等。"
63,"A50","计量综合",29,1,"术语、符号、测量技术的基本规定等。"
64,"A51","量和单位",29,1,"量和单位的名称、符号、定义等。换算值入此。"
65,"A52","长度计量",29,1,"长度、角度基准、主要用于标准器的计量器具及检定装置等。直尺、卷尺等入此。"
66,"A53","力学计量",29,1,"力学基准、主要用于标准器的计量器具及检定装置等。杠杆式衡器、秤具入此。电子秤入N13。"
67,"A54","热学计量",29,1,"热学基准、主要用于标准器的计量器具及检定装置等。"
68,"A55","电磁计量",29,1,"电磁基准、主要用于标准器的计量器具及检定装置等。"
69,"A56","无线电计量",29,1,"无线电基准、主要用于标准器的计量器具及检定装置等。"
70,"A57","时间、频率计量",29,1,"时间、频率基准，主要用于标准器的计量器具及检定装置等。"
71,"A58","电离辐射计量",29,1,"电离辐射基准、主要用于标准器的计量器具及检定装置等。"
72,"A59","声学计量",29,1,"声学基准、主要用于标准器的计量器具及检定装置等。"
73,"A60","光学计量",29,1,"光学基准、主要用于标准器的计量器具及检定装置等。"
74,"A61","化学计量",29,1,"化学基准、主要用于标准器的计量器具及检定装置等。"
75,"A65","金属化学成分标准物质",29,1,
76,"A66","非金属化学成分标准物质",30,1,"用于非金属化学成分分析仪器的校准，分析方法的评价，以统一量值的物质或材料。"
77,"A67","物理特性标准物质",30,1,"用于物理特性测量仪器的校准，测量方法的评价，以统一量值的物质或材料。"
78,"A68","物理化学特性标准物质",30,1,"用于物理化学特性测量仪器的校准，测量方法的评价、以统一量值的物质或材料。"
79,"A69","工程技术特性标准物质",30,1,"用于工程技术测量设备的校准，测量方法的评价，以统一量值的物质或材料。"
80,"A75","测绘综合",31,1,"术语、符号等。"
81,"A76","大地、海洋测绘",31,1,"天文、基线、三角（边）、空间、导线、水准、重力等测量及平差计算，海道测量，海底地形测量，海深测量等。"
82,"A77","摄影与遥感测绘",31,1,"航空摄影、遥感测绘等。"
83,"A78","精密工程与地籍测绘",31,1,"精密工程测量、变形观测、平板仪测量、地形测量、地籍控制测量、地址点测量、地籍碎部点测量等。"
84,"A79","地图制印",31,1,"图式、编绘、制印及地名标准化等。"
85,"A80","标志、包装、运输、贮存综合",32,1,
86,"A82","包装材料与容器",32,1,"通用的金属与非金属材料瓶、罐、桶、袋等。麻袋入W33，一般用瓶罐入Y22/29。"
